"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.688179167E-2,-1.151885167E-1,1.087867692E-1,-4.958357662E-2
5.691879167E-2,-3.674316704E-1,3.221890628E-1,-1.465780288E-1
6.695579167E-2,-6.923807412E-2,3.790377080E-1,-2.633648217E-1
7.699279167E-2,-8.060920984E-2,1.115627661E-1,-1.357953995E-1
8.702979167E-2,-2.551979721E-1,1.592969596E-1,-3.165385127E-1
9.706779167E-2,-2.367566228E-1,3.866398335E-1,-3.231588602E-1
1.071047917E-1,-7.916133851E-3,2.967760861E-1,-1.716177315E-1
1.171417917E-1,2.463555634E-1,2.608637093E-3,-3.703129888E-1
1.271787917E-1,4.156862572E-2,-1.487284899E-1,-3.331986070E-1
1.372157917E-1,-3.887734413E-1,-1.242979988E-1,-3.093995452E-1
1.472527917E-1,-4.591919780E-1,-6.204415858E-2,-4.517070353E-1
1.572897917E-1,8.040840179E-2,3.752584383E-2,-5.086297393E-1
1.673277917E-1,3.901348412E-1,1.112749651E-1,-5.662610531E-1
1.773647917E-1,9.614982456E-2,-1.142279357E-1,-6.771311164E-1
1.874017917E-1,7.514718920E-3,-2.528214753E-1,-5.855546594E-1
1.974387917E-1,-3.067987263E-1,-5.610655993E-2,-5.482802391E-1
2.074757917E-1,-2.082134485E-1,-1.395595521E-1,-4.246857762E-1
2.175127917E-1,6.136580110E-1,-1.658116579E-1,-6.412865520E-1
2.275497917E-1,1.769188046E-1,1.338030994E-1,-4.391170442E-1
2.375867917E-1,-4.470861852E-1,2.919165790E-1,-6.038518250E-2
2.476247917E-1,-1.611905247E-1,-5.863949656E-1,-6.816040725E-2
2.576617917E-1,3.802546263E-1,-7.409651279E-1,-2.661672235E-1
2.676987917E-1,4.034647048E-1,4.599350393E-1,-1.918412596E-1
2.777357917E-1,-2.604837120E-1,1.179188013E0,1.526612490E-1
2.877727917E-1,-3.014744520E-1,7.856471539E-1,3.159472644E-1
2.978097917E-1,-2.283323407E-1,-2.934183478E-1,-1.910464466E-1
3.078467917E-1,2.390713692E-1,-1.103602529E0,-6.784738302E-1
3.178847917E-1,4.131680727E-1,-1.069755316E0,-4.403361082E-1
3.279217917E-1,2.351960838E-1,-3.128266931E-1,-1.572685242E-1
3.379587917E-1,-2.582629025E-1,4.721634686E-1,1.116319224E-1
3.479957917E-1,-1.927427053E-1,3.991114907E-3,2.344340235E-1
3.580327917E-1,1.216876730E-1,-4.383231699E-1,-3.375360072E-1
3.680697917E-1,4.915316105E-1,-5.089734793E-1,-1.596353352E-1
3.781067917E-1,4.768948853E-1,-3.596808761E-2,3.168269247E-2
3.881447917E-1,1.345331222E-1,1.299347132E-1,-4.259693250E-2
3.981817917E-1,-2.027817965E-1,-3.191525340E-1,1.175043210E-1
4.082187917E-1,-3.526120782E-1,-4.710454345E-1,-5.803719163E-2
4.182557917E-1,-1.427957267E-1,-2.085027695E-1,9.074109793E-2
4.282927917E-1,3.044049740E-1,8.300102502E-2,2.270731628E-1
4.383297917E-1,2.634599507E-1,-8.240790665E-2,1.914118379E-1
4.483667917E-1,-1.638284028E-1,-3.081072867E-1,2.914801612E-2
4.584037917E-1,-1.499410868E-1,-2.444619983E-1,2.952964790E-2
4.684417917E-1,3.195114434E-1,-2.690275908E-1,2.661375701E-1
4.784787917E-1,2.049316168E-1,-2.962006629E-2,1.832615882E-1
4.885157917E-1,-7.171648741E-2,-1.535233259E-1,3.083064556E-1
4.985527917E-1,-2.737364471E-1,-2.372262180E-1,2.209832817E-1
5.085897917E-1,-3.458707407E-2,-5.431137085E-1,3.879888356E-1
5.186267917E-1,4.422258139E-1,-4.093417823E-1,7.290654629E-2
5.286637917E-1,-3.165802732E-2,2.540667355E-1,3.192733228E-1
5.387007917E-1,-1.396603882E-1,1.155424267E-1,5.962706208E-1
5.487387917E-1,-6.843827665E-2,-1.403978616E-1,-4.325311631E-2
5.587757917E-1,1.986645311E-1,-6.843873858E-1,2.036805004E-1
5.688127917E-1,2.966248095E-1,-4.346068799E-1,-9.341353178E-2
5.788497917E-1,-3.709698096E-2,-2.297112718E-2,1.041826308E-1
5.888867917E-1,-5.616288781E-1,3.239861131E-1,3.513795733E-1
5.989237917E-1,-3.985565901E-1,2.441890091E-1,2.810934745E-2
6.089607917E-1,3.792152703E-1,-1.661832035E-1,-3.469031304E-2
