"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.402698040E-2,4.812724416E1,1.163393947E1,5.249999390E2,-1.000000000E0,-1.000000000E0,4.170944269E2,4.170944269E2
7.539999485E-1,4.812727887E1,1.163387114E1,5.249999390E2,-1.000000000E0,-1.000000000E0,4.033929660E2,4.033929660E2
1.171093941E0,4.812728147E1,1.163382345E1,5.249999390E2,-1.000000000E0,-1.000000000E0,4.036467057E2,4.036467057E2
2.686762810E0,4.816830575E1,1.154936419E1,5.214644259E2,4.073998451E0,-1.000000000E0,2.400000000E1,2.400000000E1
3.686759114E0,4.816829458E1,1.154939180E1,4.705520662E2,4.073998451E0,-1.000000000E0,1.600000000E1,1.600000000E1
4.686753988E0,4.816829069E1,1.154940164E1,5.107944579E2,3.426744938E0,-1.000000000E0,1.600000000E1,1.600000000E1
5.686747193E0,4.816824783E1,1.154941047E1,5.148501730E2,3.426744938E0,-1.000000000E0,1.600000000E1,1.600000000E1
6.686740875E0,4.816821773E1,1.154941982E1,5.152833201E2,3.720806599E0,-1.000000000E0,1.600000000E1,1.600000000E1
7.686735749E0,4.816817367E1,1.154942729E1,5.153543204E2,3.433629036E0,-1.000000000E0,1.600000000E1,1.600000000E1
8.686738014E0,4.816815348E1,1.154942669E1,5.153873482E2,3.536680698E0,-1.000000000E0,1.600000000E1,1.600000000E1
9.686725140E0,4.816812166E1,1.154942597E1,5.154059219E2,-1.000000000E0,-1.000000000E0,1.600000000E1,1.600000000E1
1.068865311E1,4.816808657E1,1.154942565E1,5.154077793E2,3.433629036E0,-1.000000000E0,1.600000000E1,1.600000000E1
1.168864822E1,4.816809964E1,1.154942750E1,5.091340410E2,1.192092896E-7,-1.000000000E0,8.001208274E0,8.001208274E0
1.268864298E1,4.816805644E1,1.154941663E1,5.154251587E2,5.707320571E-1,-1.000000000E0,8.001208274E0,8.001208274E0
1.369963717E1,4.816803450E1,1.154942829E1,5.154174483E2,5.707320571E-1,-1.000000000E0,6.000906205E0,6.000906205E0
1.469963098E1,4.816800317E1,1.154943136E1,5.154008570E2,1.494240403E0,-1.000000000E0,6.000906205E0,6.000906205E0
