"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.057179167E-2,-1.495390320E0,4.538412323E0,8.869805145E0
4.060879167E-2,-1.652713165E0,2.633473663E0,6.352789307E0
5.064679167E-2,-1.262324982E0,1.995051270E0,6.784940643E0
6.068379167E-2,-5.905220032E-1,1.151106262E-1,8.837622070E0
7.072079167E-2,-1.645079041E-1,2.131866760E0,1.390787842E1
8.075779167E-2,-1.013093262E0,3.626059570E0,1.393152924E1
9.079479167E-2,1.926493835E-1,3.100652161E0,1.141376495E1
1.008317917E-1,1.287322998E-1,1.915416870E0,6.923851776E0
1.108687917E-1,-2.005679169E0,2.021546173E0,6.923402710E0
1.209057917E-1,-1.959724731E0,2.381248169E0,7.005581818E0
1.309437917E-1,-2.163451080E0,4.399950256E0,8.503217468E0
1.409807917E-1,-1.130000153E0,4.368365936E0,1.174083481E1
1.510177917E-1,1.716929626E-1,5.351371765E-1,1.370534958E1
1.610547917E-1,-8.472381592E-2,-1.460512848E0,1.243718674E1
1.710917917E-1,-1.029259644E0,-8.839118958E-1,1.031070877E1
1.811287917E-1,-1.548978882E0,1.666783905E0,8.024662628E0
1.911657917E-1,-1.932481384E0,4.581971741E0,6.832541656E0
2.012037917E-1,-4.064048767E-1,3.994593201E0,5.188809814E0
2.112407917E-1,-7.244934082E-1,6.108796692E-1,9.377998352E0
2.212777917E-1,5.225633240E-1,4.447251892E-1,1.436113586E1
2.313147917E-1,1.586850128E0,3.785478058E0,1.029768585E1
2.413517917E-1,-1.040336609E0,4.189487915E0,9.682764587E0
2.513887917E-1,-2.994522858E0,1.276246033E0,6.743327179E0
2.614257917E-1,1.032103729E0,-8.494834900E-1,7.285350037E0
2.714637917E-1,5.157524872E0,2.719095612E0,1.085407883E1
2.815007917E-1,2.582130432E-1,5.650898895E0,1.271126678E1
2.915377917E-1,-7.733518066E0,5.891598358E0,8.521329803E0
3.015747917E-1,-9.015601959E0,1.499431915E0,8.927884369E0
3.116117917E-1,-6.781946869E0,-7.637118530E-1,1.139385635E1
3.216487917E-1,-1.845661926E0,2.294877777E0,8.758287048E0
3.316857917E-1,2.160606995E0,5.693709869E0,9.368567963E0
3.417227917E-1,2.630180511E0,5.852828979E0,6.676865387E0
3.517607917E-1,-2.517315216E0,3.085383911E0,1.113324829E1
3.617977917E-1,-2.957549744E0,-1.394799500E0,1.328232925E1
3.718347917E-1,-1.720073090E0,2.395019531E-2,1.016371445E1
3.818717917E-1,1.719923401E-1,3.468736725E0,8.922046509E0
3.919087917E-1,3.182382202E-1,5.105433197E0,7.052883453E0
4.019457917E-1,-3.266058197E0,5.826633453E0,6.747219086E0
4.119827917E-1,-1.663640442E0,3.377276917E0,7.354655914E0
4.220197917E-1,5.001100159E-1,-4.900808716E-1,1.027149033E1
4.320577917E-1,4.760101318E-2,-3.499722290E-1,9.710157623E0
4.420947917E-1,-1.692081299E0,2.215842133E0,1.093086914E1
4.521317917E-1,-2.590213623E0,3.351530457E0,1.259316238E1
4.621687917E-1,-1.810784454E0,2.650987244E0,9.029972076E0
4.722057917E-1,-1.860331421E0,2.381846924E0,7.369924164E0
4.822427917E-1,-6.526428223E-1,3.418291626E0,7.468419342E0
4.922797917E-1,-2.179018707E0,3.647465057E0,1.397673523E1
5.023167917E-1,-2.907254333E0,3.485801239E0,9.826465759E0
5.123547917E-1,-2.428549805E0,1.489402771E0,9.790241089E0
5.223917917E-1,1.024020538E0,2.259401550E0,6.429579620E0
5.324287917E-1,2.653082886E0,3.049308929E0,6.172863464E0
5.424657917E-1,-1.778451691E0,3.220403137E0,1.379052246E1
5.525027917E-1,-2.039059753E0,3.248245239E-2,1.637893982E1
5.625397917E-1,-4.177662506E0,1.819466400E0,1.457444229E1
5.725767917E-1,1.013692017E0,5.063370667E0,7.445516968E0
5.826137917E-1,3.614234161E0,8.098758545E0,7.228468323E-1
5.926517917E-1,1.603615265E0,6.623276825E0,4.642445984E0
6.026887917E-1,-1.404080200E-1,-1.036893768E0,1.638732239E1
6.127257917E-1,-3.933520203E0,-4.178860016E0,1.864522705E1
6.227627917E-1,-3.530558167E0,-2.218686218E0,2.071018295E1
6.327997917E-1,1.400487671E0,7.391479340E0,7.313491516E0
6.428367917E-1,2.776875458E0,1.108669510E1,-1.800156555E0
6.528737917E-1,2.453996887E0,6.543941803E0,3.001707916E0
6.629107917E-1,-8.385562134E-1,-8.794212341E-1,8.287216644E0
6.729487917E-1,-3.035537567E0,-2.545905762E0,1.335792206E1
6.829857917E-1,7.352709961E-1,2.658771057E0,1.337558533E1
6.930232917E-1,2.486030273E0,8.013735352E0,9.934541016E0
7.030602917E-1,3.590583344E0,5.452411652E0,7.130571899E0
7.130972917E-1,2.498005371E0,-5.158273315E-1,4.968617706E0
7.231342917E-1,-6.373745728E-1,-1.897454224E0,7.246430969E0
7.331712917E-1,-6.194119263E-1,2.273172913E0,8.966204681E0
7.432082917E-1,-2.404000854E-1,5.711522827E0,1.319745575E1
7.532462917E-1,2.411784668E0,3.545377350E0,1.508024048E1
7.632832917E-1,2.511627045E0,7.149133301E-1,1.102846619E1
7.733202917E-1,6.762936401E-1,2.084116058E0,5.628894653E0
7.833572917E-1,6.836283875E-1,6.130052490E0,2.456840973E0
7.933942917E-1,-8.816665649E-1,8.204139404E0,2.031425629E0
8.034312917E-1,4.655319214E-2,2.872376862E0,6.997798004E0
