"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.555010080E-1,4.815993294E1,1.156187317E1,0.000000000E0,-1.000000000E0,-1.000000000E0,6.135539422E2,6.135539422E2
4.331300259E-1,4.816005188E1,1.156116934E1,0.000000000E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.156620026E0,4.816000804E1,1.156138121E1,0.000000000E0,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.615004778E0,4.815999609E1,1.156141351E1,5.468194523E2,1.141773939E0,-1.000000000E0,3.200000000E1,3.200000000E1
3.623891473E0,4.815996808E1,1.156144973E1,4.704192131E2,1.141773939E0,-1.000000000E0,3.200000000E1,3.200000000E1
4.623886228E0,4.815996429E1,1.156145971E1,5.100919453E2,4.087820649E-1,-1.000000000E0,3.200000000E1,3.200000000E1
5.623881221E0,4.816002582E1,1.156149440E1,5.140592186E2,4.087820649E-1,-1.000000000E0,2.400000000E1,2.400000000E1
6.623875737E0,4.816009167E1,1.156155343E1,5.144559459E2,2.322499752E0,-1.000000000E0,2.400000000E1,2.400000000E1
7.623870015E0,4.816015361E1,1.156157514E1,4.585910240E2,2.322499752E0,-1.000000000E0,1.600000000E1,1.600000000E1
8.623864055E0,4.816018434E1,1.156158582E1,4.585910240E2,2.320887327E0,-1.000000000E0,1.600000000E1,1.600000000E1
9.623858929E0,4.816021126E1,1.156160552E1,4.585910240E2,2.320887327E0,-1.000000000E0,2.400000000E1,2.400000000E1
1.062235296E1,4.816027154E1,1.156162976E1,4.585910240E2,3.623360395E0,-1.000000000E0,1.200000000E1,1.200000000E1
1.162234855E1,4.816038056E1,1.156166079E1,5.089091264E2,3.084049702E0,-1.000000000E0,1.200181241E1,1.200181241E1
1.262234235E1,4.816038146E1,1.156167234E1,5.139409367E2,3.084049702E0,1.519212852E1,1.200181241E1,1.200181241E1
1.407033443E1,4.816039589E1,1.156171063E1,5.246020197E2,3.084049702E0,1.352017675E1,8.001208274E0,8.001208274E0
