"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.012305833E-1,1.130492449E0,-2.096792459E-1,2.608532906E-1
9.112685833E-1,-1.262363195E-1,-1.958984695E-2,2.448142171E-1
9.213065833E-1,-1.392479658E0,3.519336283E-1,3.277098835E-1
9.313435833E-1,-9.036449790E-1,4.688459039E-1,3.831233680E-1
9.413815833E-1,1.130522728E0,-3.337211311E-1,1.052571535E-1
9.514195833E-1,1.064031720E0,-3.639641404E-1,5.792471394E-2
9.614565833E-1,-2.786057591E-1,1.342238188E-1,1.840043515E-1
9.714945833E-1,-1.391601086E0,4.122345150E-1,2.689793110E-1
9.815325833E-1,-1.077397585E0,3.892985880E-1,2.279527932E-1
9.915705833E-1,4.999671280E-1,-1.520445496E-1,5.340528488E-2
1.001607583E0,8.936334252E-1,-8.836437017E-2,1.697643660E-2
1.011645583E0,-1.072051190E-2,3.708299696E-1,1.168900281E-1
1.021683583E0,-3.239676356E-1,4.099009335E-1,1.736316085E-1
1.031720583E0,4.975394011E-1,5.432381853E-2,-7.825817168E-2
1.041758583E0,9.576665163E-1,-4.381447136E-1,-4.408595264E-1
1.051796583E0,-5.842981860E-2,-1.810228825E-1,-2.329531014E-1
1.061833583E0,-4.988807142E-1,6.497099996E-1,-9.641283005E-2
1.071871583E0,-3.297640085E-1,6.754066348E-1,-7.673858851E-2
1.081909583E0,2.048988640E-1,1.036800221E-1,-1.104448885E-1
1.091946583E0,3.915309310E-1,-3.540785909E-1,-3.825361431E-1
1.101984583E0,1.516909003E-1,-5.148276687E-2,-3.008141220E-1
1.112022583E0,2.964447811E-2,5.288718343E-1,-1.705170423E-1
1.122059583E0,5.973553658E-2,5.584640503E-1,-2.546228468E-1
1.132097583E0,5.584994215E-4,1.802422665E-2,-4.486490488E-1
1.142135583E0,3.608267009E-2,-2.939528525E-1,-7.541919351E-1
1.152173583E0,1.098591611E-1,-1.949634105E-1,-5.999705195E-1
1.162210583E0,1.754232496E-1,7.615917921E-2,-4.663602412E-1
1.172248583E0,2.148917019E-1,1.433849782E-1,-4.246937931E-1
1.182286583E0,-1.409087423E-2,1.184359416E-1,-3.577605784E-1
1.192323583E0,-1.512716264E-1,-9.828008711E-3,-2.285610139E-1
1.202361583E0,1.166913807E-1,-5.378378555E-4,-1.484177113E-1
1.212399583E0,3.822423518E-1,1.551907510E-1,-9.176871926E-2
1.222436583E0,3.162326813E-1,2.784621119E-1,6.319689751E-2
1.232474583E0,-3.741124272E-1,3.542225957E-1,7.862941921E-2
1.242512583E0,-4.600102901E-1,1.162646189E-1,7.239708304E-2
1.252549583E0,2.783791721E-1,-7.815823704E-2,-6.364999339E-3
1.262587583E0,8.218811154E-1,-6.262321770E-2,-1.893085986E-2
1.272625583E0,4.331497252E-1,1.102429852E-1,-1.345154084E-2
1.282662583E0,-3.227629662E-1,2.289177030E-1,-5.603708327E-2
1.292700583E0,-5.013582110E-1,9.858929366E-2,-1.400506645E-1
1.302738583E0,3.766007125E-1,-1.073060781E-1,-3.097510338E-1
1.312776583E0,8.736967444E-1,-1.368004270E-2,-3.691356778E-1
1.322813583E0,4.844579399E-1,1.365352869E-1,-3.798964322E-1
1.332851583E0,-2.595473826E-1,1.156181768E-1,-5.204389095E-1
1.342889583E0,-4.663631320E-1,-1.143513694E-1,-5.695289373E-1
1.352926583E0,1.209640130E-1,-1.633777767E-1,-6.273484826E-1
1.362964583E0,7.875311375E-1,9.103479981E-2,-6.706030369E-1
1.373002583E0,5.759795904E-1,1.722474843E-1,-5.383033156E-1
1.383039583E0,-5.215730518E-2,1.493821293E-1,-6.168513894E-1
1.393077583E0,-2.261065990E-1,3.600908816E-2,-7.002428174E-1
1.403115583E0,3.702623025E-2,-6.596068293E-2,-6.479082108E-1
1.413152583E0,5.930494666E-1,2.572439909E-1,-6.530441046E-1
1.423190583E0,6.711909175E-1,1.848352700E-1,-5.867582560E-1
1.433228583E0,5.640835166E-1,-2.026624531E-1,-7.239761353E-1
1.443266583E0,-6.954891086E-1,-1.613882482E-1,-7.910686135E-1
1.453303583E0,-1.104043007E0,4.412617534E-2,-5.420305133E-1
1.463341583E0,3.438804746E-1,1.807159781E-1,-4.219446480E-1
1.473379583E0,1.161227345E0,7.806348801E-2,-5.380299687E-1
1.483416583E0,2.634672523E-1,8.776005358E-2,-5.009486079E-1
1.493454583E0,-1.047833443E0,2.610736787E-1,-3.974704444E-1
1.503492458E0,-1.076871276E0,1.360742003E-1,-4.231547713E-1
1.513529458E0,3.522070944E-1,-4.496777058E-1,-5.826471448E-1
1.523567458E0,9.951851964E-1,-5.506557226E-1,-5.337387323E-1
1.533605458E0,2.286866009E-1,-2.602211237E-1,-4.319007993E-1
1.543642458E0,-6.470949650E-1,7.478616387E-2,-2.344756126E-1
1.553680458E0,-4.509204030E-1,8.154666424E-2,-1.706672907E-1
1.563718458E0,3.904395700E-1,-1.086182147E-1,-2.236362249E-1
1.573756458E0,6.001946926E-1,-2.811939716E-1,-1.303876489E-1
1.583793458E0,6.339406967E-2,-1.920604892E-2,-1.151482537E-1
1.593831458E0,-4.158434868E-1,2.448848784E-1,-3.746253252E-2
1.603869458E0,-7.609896362E-2,1.604709327E-1,6.379492581E-3
1.613906458E0,7.751220465E-1,-1.122233197E-1,-1.601668000E-1
1.623944458E0,9.275001287E-1,-2.657995522E-1,-2.038066983E-1
1.633982458E0,1.184253573E0,-1.883114874E-1,-1.811921000E-1
1.644019458E0,6.184111834E-1,-3.056181036E-2,-1.307664812E-1
1.654057458E0,-9.089505076E-1,-2.050720900E-1,-5.890598893E-2
1.664095458E0,-1.021648407E0,-3.619120419E-1,-8.664973825E-2
1.674132458E0,-3.113100529E-1,-1.350951493E-1,3.564510867E-2
1.684170458E0,3.996873796E-1,7.837051898E-2,2.350551486E-1
1.694208458E0,5.415975451E-1,2.585809529E-1,8.664480597E-2
1.704246458E0,3.379069865E-1,3.733147085E-1,9.261454642E-2
1.714283458E0,1.867078841E-1,7.957977057E-2,1.873708814E-1
1.724321458E0,-3.746991456E-1,-4.045561850E-1,2.832863480E-2
1.734359458E0,-6.930312514E-1,-4.763469696E-1,-7.469297200E-2
1.744396458E0,-7.281809300E-2,-4.372445643E-1,1.253964454E-1
1.754434458E0,6.422784925E-1,-1.206389740E-1,2.259978801E-1
1.764472458E0,2.769478858E-1,-2.090335488E-1,3.769586384E-1
1.774509458E0,-5.459197164E-1,-3.084446788E-1,4.455942810E-1
1.784547458E0,-8.204239607E-1,-3.587438166E-1,6.019679308E-1
1.794585458E0,-3.190021031E-3,-5.087738633E-1,6.845542192E-1
1.804622458E0,6.008702517E-1,-5.032358170E-1,7.315073609E-1
1.814660458E0,2.213010043E-1,-1.415092349E-1,8.933811784E-1
1.824698458E0,-4.479268789E-1,9.948467836E-3,1.027282238E0
1.834736458E0,-4.318344295E-1,7.515466958E-2,9.551553130E-1
1.844773458E0,2.225420475E-1,-7.503483444E-2,8.405973315E-1
1.854811458E0,3.788636029E-1,-3.614697233E-2,7.966392040E-1
1.864849458E0,-9.366053343E-2,1.686591469E-2,7.192469835E-1
1.874886458E0,-4.153138101E-1,-1.099970862E-1,6.060574055E-1
1.884924458E0,-5.322535709E-2,-1.430162936E-1,4.133952260E-1
1.894962458E0,1.917596161E-1,-1.415851116E-1,3.822523355E-1
1.904999458E0,3.768644109E-2,5.563323386E-3,3.555064797E-1
1.915037458E0,-1.871986240E-1,1.596479118E-2,2.104446590E-1
1.925075458E0,-1.773377359E-1,-5.272984877E-2,2.284463048E-1
1.935112458E0,-1.997860381E-3,-1.741172373E-1,1.756385714E-1
1.945150458E0,5.571123958E-2,-1.515235156E-1,1.492338628E-1
1.955188458E0,-5.316130444E-2,-3.082782403E-2,2.626628280E-1
1.965226458E0,-4.992289841E-2,8.160577714E-2,3.293222785E-1
1.975263458E0,6.412856281E-2,-3.395625576E-2,4.043880701E-1
1.985301458E0,-3.705184907E-2,-1.624183506E-1,3.843869269E-1
1.995339458E0,-2.292291671E-1,-1.309820414E-1,5.339387059E-1
2.005376458E0,-3.490437269E-1,-3.829525784E-2,6.645483971E-1
2.015414458E0,-9.343975782E-2,-1.824307442E-2,6.360800266E-1
2.025452458E0,2.573507726E-1,-1.594747603E-1,7.445646524E-1
2.035489458E0,1.436911672E-1,-2.013355047E-1,7.320828438E-1
2.045527458E0,-2.704758942E-1,-1.480131596E-1,7.654767632E-1
2.055565458E0,-3.613557518E-1,6.279946864E-2,9.078848958E-1
