"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.798920833E-2,-1.236578522E0,2.041305084E0,1.012105316E1
4.802620833E-2,-1.761387177E0,1.958676910E0,1.165416504E1
5.806420833E-2,-1.715732117E0,1.867815857E0,9.590107269E0
6.810220833E-2,-1.503772888E0,2.278262329E0,8.687783661E0
7.813920833E-2,-1.317260742E-1,2.421664124E0,9.017547913E0
8.817720833E-2,9.638456726E-1,1.791175232E0,9.561816101E0
9.821520833E-2,-2.707868958E-1,2.176923065E0,1.010788055E1
1.082532083E-1,8.178991699E-1,1.734592896E0,1.000788849E1
1.182902083E-1,-5.646258545E-1,2.207908630E0,8.694819031E0
1.283282083E-1,-1.537602539E0,2.057770844E0,9.223369904E0
1.383662083E-1,1.450483704E-1,1.935774536E0,8.478518829E0
1.484032083E-1,-3.258723450E-1,2.777474213E0,9.291777649E0
1.584412083E-1,1.407073975E-1,2.627486115E0,9.679321747E0
1.684792083E-1,-1.544787598E-1,2.194736023E0,1.011267059E1
1.785162083E-1,-1.097517700E0,2.056273956E0,1.022508682E1
1.885542083E-1,3.317102051E-1,1.505419464E0,9.090296631E0
1.985922083E-1,3.269201660E-1,2.516866150E0,9.085057526E0
2.086292083E-1,1.128652954E-1,3.235072632E0,9.656569061E0
2.186672083E-1,-3.951782227E-2,2.633623352E0,1.079076050E1
2.287052083E-1,-1.204694824E0,2.229763184E0,1.110510681E1
2.387432083E-1,-1.585203552E-1,2.373314667E0,8.001610565E0
2.487802083E-1,8.183482361E-1,2.860701141E0,7.468419342E0
2.588182083E-1,1.511856079E-1,2.918630676E0,1.061008621E1
2.688562083E-1,-2.207908630E-1,2.148182831E0,1.185549637E1
2.788932083E-1,-1.374292145E0,9.635462952E-1,1.349204315E1
2.889312083E-1,-1.500030670E0,-1.917811890E0,1.729593292E1
2.989692083E-1,-1.147962799E0,1.930984497E-1,1.303863602E1
3.090062083E-1,1.797761536E0,3.863016815E0,6.967710571E0
3.190442083E-1,4.357139282E0,4.619693298E0,7.404651947E0
3.290822083E-1,2.546654205E0,1.604663086E0,1.225711121E1
3.391202083E-1,-2.310146027E0,-1.508712616E0,1.628478561E1
3.491572083E-1,-2.196681976E0,1.014141083E0,1.064735870E1
3.591952083E-1,5.307962036E-1,9.693242798E0,7.646099854E-1
3.692332083E-1,2.532882843E0,1.333561844E1,-4.867278442E0
3.792702083E-1,3.863765259E0,7.968978424E0,-2.279759216E0
3.893082083E-1,-3.472778320E-2,7.731422424E-1,6.555318146E0
3.993462083E-1,-1.200802917E0,-3.647465057E0,8.661887512E0
4.093832083E-1,8.158035278E-1,-3.896397400E-1,9.445957031E0
4.194212083E-1,1.664837952E0,3.174299011E0,1.608016113E1
4.294592083E-1,9.114546204E-1,3.131787415E0,1.718276825E1
4.394962083E-1,-3.833528137E-1,9.954299927E-1,1.263028519E1
4.495342083E-1,1.305285645E0,-2.736010437E0,1.332648743E1
4.595722083E-1,3.702251129E0,-2.138153687E0,1.144340332E1
4.696102083E-1,1.268761597E0,2.754721527E0,8.962911530E0
4.796472083E-1,-1.078956299E0,5.872887268E0,8.356372833E0
4.896852083E-1,-3.244353333E0,5.923931122E0,8.800798645E0
4.997235833E-1,-3.236120453E0,1.852697296E0,1.045381119E1
5.097605833E-1,-5.201683044E-1,-2.398462372E0,1.087772964E1
5.197985833E-1,7.081773376E-1,-4.748126221E-1,1.117231705E1
5.298365833E-1,2.080673218E-2,5.392236786E0,9.276808777E0
5.398735833E-1,-1.414708099E0,7.835605774E0,7.288493500E0
5.499115833E-1,-1.875599670E-1,2.086062012E0,8.627159729E0
5.599495833E-1,1.472188568E0,-3.737577667E0,1.119162689E1
5.699865833E-1,2.301763458E0,-1.879641266E0,1.019245468E1
5.800245833E-1,2.061662750E0,3.959715729E0,8.239915009E0
5.900625833E-1,6.897656250E-1,6.329587555E0,7.666906586E0
6.001005833E-1,-5.722599792E-1,3.106190643E0,9.050180054E0
6.101375833E-1,-2.483335876E-1,-1.612446899E0,1.133143616E1
6.201755833E-1,4.772076416E-1,-1.491049347E0,1.093940140E1
6.302135833E-1,5.105882263E-1,3.086132355E0,7.752528534E0
6.402505833E-1,3.622467041E-1,4.817881165E0,7.566914520E0
6.502885833E-1,-9.166937256E-1,3.344495087E0,9.556277618E0
6.603265833E-1,-1.792971497E0,1.948049011E0,1.034828064E1
6.703635833E-1,-4.855902100E-1,2.304158478E0,8.777297516E0
6.804015833E-1,3.721261597E-1,3.929927673E0,7.693102112E0
6.904395833E-1,4.784051514E-1,3.724255371E0,7.563471680E0
7.004765833E-1,-5.182223511E-1,1.611249390E0,9.862989807E0
7.105145833E-1,-1.638642426E0,1.125659180E0,1.099074463E1
7.205525833E-1,-9.758207703E-1,2.193837891E0,1.038151154E1
7.305905833E-1,1.675016785E-1,3.571872253E0,9.015003204E0
7.406275833E-1,7.899073792E-1,3.115321655E0,9.326655121E0
7.506655833E-1,6.198609924E-1,1.177601166E0,9.957593079E0
7.607035833E-1,-1.255888367E-1,1.739382935E-1,1.091874435E1
7.707405833E-1,-5.912704468E-1,7.783813477E-1,1.233165619E1
7.807785833E-1,-2.475851440E-1,3.401376801E0,9.242679749E0
7.908165833E-1,-2.544708252E-3,2.811303864E0,1.211176346E1
8.008535833E-1,-1.239871674E0,1.020877075E-1,1.615620300E1
8.108915833E-1,-2.649789734E0,6.960525513E-2,1.226354782E1
8.209295833E-1,-1.198258209E0,1.418001251E0,1.014096176E1
8.309665833E-1,1.205592957E0,3.746858368E0,9.284891968E0
8.410045833E-1,1.198557587E0,3.282224579E0,1.288700134E1
8.510425833E-1,-4.014651489E-1,3.386707306E0,1.047536636E1
8.610805833E-1,-1.073866882E0,5.141358490E0,5.463488617E0
8.711175833E-1,-8.891510010E-2,6.287375336E0,4.161645813E0
8.811555833E-1,6.948550415E-1,2.682571564E0,8.046666870E0
8.911935833E-1,-3.737727356E-1,-2.130070496E0,1.269285507E1
9.012305833E-1,-9.924362183E-1,-1.613644409E-1,1.204365509E1
9.112685833E-1,2.040257263E-1,7.195836182E0,7.935597839E0
9.213065833E-1,1.679956512E0,7.766000519E0,6.976542206E0
9.313435833E-1,3.097059631E-1,7.385641479E-1,9.154213715E0
9.413815833E-1,-1.507814484E0,-6.098767548E0,9.782307587E0
9.514195833E-1,-3.725752258E-1,-1.799258423E0,9.109007721E0
9.614565833E-1,1.373244324E0,6.354136505E0,6.530170441E0
9.714945833E-1,2.793790283E0,9.108708344E0,4.438719635E0
