"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.624129509295626E9,"2021-06-19 21:05:09.296 UTC+02:00"
"PAUSE",7.777393966666750E1,1.624129587069201E9,"2021-06-19 21:06:27.069 UTC+02:00"
