"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.029879167E-2,-6.122113019E-2,-2.798852697E-2,5.274329707E-2
2.033379167E-2,-1.723833382E-1,9.939020127E-2,8.911275864E-2
3.036979167E-2,-7.262108475E-2,9.889790416E-2,7.901667804E-2
4.040579167E-2,-3.966100514E-2,-1.222036593E-2,3.691210598E-2
5.044079167E-2,-9.134549648E-2,-9.632165730E-2,1.737138815E-2
6.047679167E-2,-1.341411620E-1,-4.945667833E-2,1.047563627E-1
7.051279167E-2,-5.436793715E-2,5.418268219E-2,1.246287897E-1
8.054779167E-2,1.945914887E-2,9.960359894E-3,1.135905161E-1
9.058379167E-2,8.112652227E-3,-1.365620196E-1,8.371632546E-2
1.006197917E-1,-1.181851029E-1,-9.722446650E-2,8.662076294E-2
1.106557917E-1,-1.528642774E-1,8.821262419E-2,1.539326459E-1
1.206907917E-1,-1.366280466E-1,3.238957375E-2,1.800784916E-1
1.307267917E-1,8.000627160E-2,-6.671156734E-2,1.026889831E-1
1.407627917E-1,-2.132273745E-3,-4.033163190E-2,1.190418601E-1
1.507977917E-1,-1.886214763E-1,4.724761844E-2,1.209554896E-1
1.608337917E-1,-1.363239139E-1,-3.960125893E-2,6.682860851E-2
1.708697917E-1,-1.396644264E-1,-7.164913416E-2,5.171364173E-2
1.809047917E-1,6.435513496E-3,5.418416113E-2,3.971423581E-2
1.909407917E-1,4.389917105E-2,-6.762993988E-3,1.638331711E-1
2.009767917E-1,-1.631730646E-1,1.001533344E-1,1.020835340E-1
2.110117917E-1,-3.635620773E-1,-3.179138154E-2,2.428121418E-1
2.210477917E-1,-4.298923612E-1,4.004046321E-2,6.984037906E-2
2.310837917E-1,-2.525882721E-1,1.094829850E-2,1.619179547E-1
2.411197917E-1,-6.227984279E-2,6.561234593E-2,7.365626842E-2
2.511547917E-1,-2.399808168E-2,9.398415685E-3,7.510022819E-2
2.611907917E-1,-6.147328764E-2,-4.025089741E-2,3.523510695E-2
2.712267917E-1,-1.463570297E-1,-1.078646928E-1,7.513681427E-3
2.812617917E-1,-3.442064673E-2,-5.736237019E-2,3.454822674E-2
2.912977917E-1,1.072523668E-1,2.582347021E-2,-3.568014875E-2
3.013337917E-1,4.193035886E-2,-3.099789377E-3,4.218668491E-2
3.113687917E-1,-1.927430332E-1,1.249490455E-1,-3.887766227E-2
3.214047917E-1,-7.622572780E-2,-5.585162342E-2,8.111952804E-3
3.314407917E-1,1.557405591E-1,-1.442993730E-1,-7.272624969E-2
3.414757917E-1,-2.499139402E-3,-6.479709595E-2,-5.532541871E-2
