"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.813101768E-2,4.816931468E1,1.154795195E1,5.151319580E2,-1.000000000E0,-1.000000000E0,1.393122870E3,1.393122870E3
5.695700645E-2,4.816944484E1,1.154774534E1,5.151319580E2,-1.000000000E0,-1.000000000E0,2.027198535E3,2.027198535E3
2.569111228E0,4.817106422E1,1.154813974E1,5.247051049E2,2.396707535E0,-1.000000000E0,2.400000000E1,2.400000000E1
3.569106340E0,4.817110262E1,1.154808578E1,4.702992101E2,2.396707535E0,-1.000000000E0,8.000000000E0,8.000000000E0
4.569101572E0,4.817106600E1,1.154810598E1,5.107208874E2,2.396707535E0,-1.000000000E0,8.000000000E0,8.000000000E0
5.569097400E0,4.817104659E1,1.154813064E1,5.148951658E2,2.864907742E0,-1.000000000E0,1.600000000E1,1.600000000E1
6.569092512E0,4.817101865E1,1.154816786E1,5.150507345E2,3.296437502E0,-1.000000000E0,1.600000000E1,1.600000000E1
7.569087863E0,4.817100493E1,1.154820688E1,5.145710826E2,3.973181725E0,-1.000000000E0,1.600000000E1,1.600000000E1
8.569081426E0,4.817097209E1,1.154823985E1,5.140029148E2,3.973181725E0,-1.000000000E0,1.600000000E1,1.600000000E1
9.569076180E0,4.817091081E1,1.154831724E1,5.246264963E2,3.973181725E0,-1.000000000E0,8.001208274E0,8.001208274E0
1.056907237E1,4.817085620E1,1.154835611E1,5.127975872E2,4.779160976E0,1.352924007E2,8.001208274E0,8.001208274E0
1.167306745E1,4.817082822E1,1.154840551E1,5.123828955E2,4.713875771E0,1.328025782E2,6.000906205E0,6.000906205E0
1.267306292E1,4.817080230E1,1.154845966E1,5.124384357E2,4.771723747E0,1.323819342E2,6.000906205E0,6.000906205E0
1.367305839E1,4.817077698E1,1.154852566E1,5.128808610E2,4.771723747E0,1.323203122E2,6.000906205E0,6.000906205E0
1.467305315E1,4.817073970E1,1.154858351E1,5.131127500E2,4.807761192E0,1.289775493E2,6.000906205E0,6.000906205E0
1.567304814E1,4.817070412E1,1.154863972E1,5.142044143E2,5.005784035E0,1.287147373E2,6.000906205E0,6.000906205E0
1.667304325E1,4.817067017E1,1.154868740E1,5.151423344E2,5.278578281E0,1.304437314E2,6.000906205E0,6.000906205E0
1.767303848E1,4.817064029E1,1.154874311E1,5.159027218E2,5.278578281E0,1.325389056E2,6.000906205E0,6.000906205E0
1.867303371E1,4.817061320E1,1.154880105E1,5.165471932E2,5.266181469E0,1.393258324E2,6.000906205E0,6.000906205E0
1.967302930E1,4.817057718E1,1.154884167E1,5.170977853E2,5.186047077E0,1.401177928E2,4.000604137E0,4.000604137E0
2.067302442E1,4.817054662E1,1.154889417E1,5.175401126E2,5.186047077E0,1.404876612E2,4.000604137E0,4.000604137E0
2.167301989E1,4.817051183E1,1.154894086E1,5.179304147E2,5.117897511E0,1.435735816E2,4.000604137E0,4.000604137E0
2.267301631E1,4.817047530E1,1.154898084E1,5.181230338E2,5.117897511E0,1.490558603E2,4.000604137E0,4.000604137E0
2.367301202E1,4.817043528E1,1.154901480E1,5.189795637E2,5.117897511E0,1.493658962E2,4.000604137E0,4.000604137E0
