"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.277555525E1,4.816284312E1,1.155651744E1,5.154257728E2,4.789025784E0,9.002151760E1,8.001208274E0,8.001208274E0
4.377553344E1,4.816283208E1,1.155660871E1,5.154148730E2,4.923560619E0,9.078715449E1,8.001208274E0,8.001208274E0
4.477551246E1,4.816282827E1,1.155668019E1,5.153907118E2,4.937053680E0,9.157505779E1,8.001208274E0,8.001208274E0
4.577549398E1,4.816283046E1,1.155673590E1,5.153646750E2,4.923560619E0,9.271859538E1,6.000906205E0,6.000906205E0
4.677547562E1,4.816281293E1,1.155682687E1,5.153447130E2,4.461869240E0,8.756598263E1,6.000906205E0,6.000906205E0
4.777545834E1,4.816280265E1,1.155686745E1,5.153532087E2,3.379143715E0,8.414714510E1,6.000906205E0,6.000906205E0
4.877544200E1,4.816280710E1,1.155690347E1,5.153730646E2,2.346790552E0,5.428817401E1,6.000906205E0,6.000906205E0
4.977542651E1,4.816282041E1,1.155694755E1,5.153815322E2,2.550257444E0,3.766015703E1,6.000906205E0,6.000906205E0
5.077541208E1,4.816284753E1,1.155697226E1,5.153702390E2,2.550257444E0,1.962965973E1,6.000906205E0,6.000906205E0
5.177539921E1,4.816288382E1,1.155698984E1,5.153285152E2,3.189758062E0,1.553987223E1,6.000906205E0,6.000906205E0
5.277538538E1,4.816292289E1,1.155698279E1,5.152548543E2,3.390083313E0,4.729714328E0,6.000906205E0,6.000906205E0
5.377537417E1,4.816295951E1,1.155697907E1,5.151565764E2,3.841557741E0,6.826944830E0,6.000906205E0,6.000906205E0
5.477536249E1,4.816300177E1,1.155698429E1,5.150454546E2,3.841557741E0,6.482593159E0,6.000906205E0,6.000906205E0
5.577535152E1,4.816303001E1,1.155698024E1,5.149195902E2,3.815329552E0,3.333488125E0,6.000906205E0,6.000906205E0
5.677534127E1,4.816306465E1,1.155699563E1,5.148010407E2,3.729650736E0,6.844258933E0,1.200181241E1,1.200181241E1
5.777533185E1,4.816309373E1,1.155700425E1,5.146898693E2,3.729650736E0,2.279027513E0,8.001208274E0,8.001208274E0
5.877532327E1,4.816313761E1,1.155702056E1,5.146087693E2,4.385842800E0,2.640081558E0,8.001208274E0,8.001208274E0
5.977531362E1,4.816317616E1,1.155704763E1,5.145396302E2,4.575259686E0,1.859433624E0,8.001208274E0,8.001208274E0
6.077530527E1,4.816322115E1,1.155704979E1,5.144674026E2,4.575259686E0,1.575666692E0,6.000906205E0,6.000906205E0
6.177529776E1,4.816327727E1,1.155706841E1,5.143975028E2,4.584710121E0,2.187882480E0,6.000906205E0,6.000906205E0
6.277529025E1,4.816332765E1,1.155707169E1,5.143074013E2,4.584710121E0,2.714451432E0,6.000906205E0,6.000906205E0
6.377528310E1,4.816337577E1,1.155705954E1,5.142152246E2,4.650629997E0,7.691919453E-1,6.000906205E0,6.000906205E0
6.477527773E1,4.816343699E1,1.155702929E1,5.141354747E2,4.745332718E0,3.451462674E-1,8.001208274E0,8.001208274E0
6.577527070E1,4.816349461E1,1.155702146E1,5.140629001E2,4.745332718E0,3.584012813E2,6.000906205E0,6.000906205E0
6.677526367E1,4.816354536E1,1.155701419E1,5.139706085E2,4.837288857E0,6.575960991E0,6.000906205E0,6.000906205E0
