"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.624129727328306E9,"2021-06-19 21:08:47.328 UTC+02:00"
"PAUSE",1.147034456666679E2,1.624129842030055E9,"2021-06-19 21:10:42.030 UTC+02:00"
"START",1.147034456666679E2,1.624129930201267E9,"2021-06-19 21:12:10.201 UTC+02:00"
"PAUSE",3.247422908333356E2,1.624130140239516E9,"2021-06-19 21:15:40.240 UTC+02:00"
