"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.624129137306351E9,"2021-06-19 20:58:57.306 UTC+02:00"
"PAUSE",2.075944776249998E2,1.624129344899855E9,"2021-06-19 21:02:24.900 UTC+02:00"
