"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.624116521224911E9,"2021-06-19 17:28:41.225 UTC+02:00"
"PAUSE",2.729782388333333E2,1.624116794200096E9,"2021-06-19 17:33:14.200 UTC+02:00"
"START",2.729782388333333E2,1.624116831968545E9,"2021-06-19 17:33:51.969 UTC+02:00"
"PAUSE",3.300484742916667E2,1.624116889038491E9,"2021-06-19 17:34:49.038 UTC+02:00"
"START",3.300484742916667E2,1.624116920110956E9,"2021-06-19 17:35:20.111 UTC+02:00"
"PAUSE",3.502629220833335E2,1.624116940325285E9,"2021-06-19 17:35:40.325 UTC+02:00"
"START",3.502629220833335E2,1.624117032914616E9,"2021-06-19 17:37:12.915 UTC+02:00"
"PAUSE",7.308603137916666E2,1.624117413509006E9,"2021-06-19 17:43:33.509 UTC+02:00"
