"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.624128926927495E9,"2021-06-19 20:55:26.927 UTC+02:00"
"PAUSE",4.990275837499939E1,1.624128976830100E9,"2021-06-19 20:56:16.830 UTC+02:00"
