"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.873894691E-2,4.815758807E1,1.156103567E1,5.143527222E2,-1.000000000E0,-1.000000000E0,2.327756158E2,2.327756158E2
4.108870029E-1,4.815981337E1,1.156169229E1,5.112718124E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.060763955E0,4.815981221E1,1.156170765E1,5.112718010E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.549948812E0,4.815989302E1,1.156167088E1,5.165326666E2,1.807912350E0,-1.000000000E0,2.400000000E1,2.400000000E1
3.549947858E0,4.815992071E1,1.156162935E1,4.585910240E2,2.377283573E0,-1.000000000E0,8.000000000E0,8.000000000E0
4.549947023E0,4.815992578E1,1.156167072E1,4.585910240E2,2.377283573E0,-1.000000000E0,8.000000000E0,8.000000000E0
5.549946070E0,4.815991623E1,1.156170385E1,4.585910240E2,2.955396175E0,-1.000000000E0,8.000000000E0,8.000000000E0
6.549944878E0,4.815995550E1,1.156174596E1,5.089091264E2,2.955396175E0,-1.000000000E0,8.001208274E0,8.001208274E0
7.549943328E0,4.815998441E1,1.156176711E1,5.139409367E2,1.269417405E0,8.378129285E1,8.001208274E0,8.001208274E0
8.965960264E0,4.815997290E1,1.156185177E1,5.382634341E2,3.427314043E0,1.066017267E2,8.001208274E0,8.001208274E0
9.965963840E0,4.815996804E1,1.156190539E1,5.144944358E2,3.127796173E0,1.058128808E2,8.001208274E0,8.001208274E0
1.096596241E1,4.815996056E1,1.156194298E1,5.144994676E2,3.309819221E0,9.448691086E1,8.001208274E0,8.001208274E0
1.196596563E1,4.815996120E1,1.156199045E1,5.144999708E2,2.682789803E0,1.061298494E2,8.001208274E0,8.001208274E0
1.296596515E1,4.815995381E1,1.156203374E1,5.144921659E2,3.062639952E0,9.387052727E1,8.001208274E0,8.001208274E0
1.396596932E1,4.815995076E1,1.156207713E1,5.144762243E2,2.985517502E0,1.087594927E2,8.001208274E0,8.001208274E0
1.496596754E1,4.815993946E1,1.156211713E1,5.144546350E2,3.062639952E0,9.489517176E1,8.001208274E0,8.001208274E0
1.596597207E1,4.815992485E1,1.156217158E1,5.144228130E2,4.297638416E0,1.032698579E2,8.001208274E0,8.001208274E0
1.696597135E1,4.815988646E1,1.156222931E1,5.143721698E2,4.297638416E0,9.700095323E1,8.001208274E0,8.001208274E0
1.796597564E1,4.815986260E1,1.156228154E1,5.142689976E2,3.864131212E0,9.732801684E1,8.001208274E0,8.001208274E0
1.896597397E1,4.815984976E1,1.156233078E1,5.141370068E2,3.815359116E0,9.994645865E1,8.001208274E0,8.001208274E0
1.996597290E1,4.815984542E1,1.156237793E1,5.140080118E2,3.216986179E0,9.933872208E1,4.000604137E0,4.000604137E0
2.096597993E1,4.815984095E1,1.156242076E1,5.138941480E2,3.216986179E0,1.005978060E2,4.000604137E0,4.000604137E0
2.196597803E1,4.815983575E1,1.156246773E1,5.137950907E2,2.997493029E0,1.006773982E2,6.000906205E0,6.000906205E0
2.296598208E1,4.815982920E1,1.156251683E1,5.137052045E2,2.997493029E0,1.017925290E2,8.001208274E0,8.001208274E0
2.396598089E1,4.815982231E1,1.156256972E1,5.136302979E2,3.589788914E0,1.036532433E2,6.000906205E0,6.000906205E0
2.496620774E1,4.815981138E1,1.156262343E1,5.135815536E2,4.181913376E0,1.018776127E2,4.000604137E0,4.000604137E0
2.596642971E1,4.815980425E1,1.156267668E1,5.135509711E2,3.899250507E0,1.016625095E2,4.000604137E0,4.000604137E0
2.696664739E1,4.815980151E1,1.156273443E1,5.135318179E2,4.133807182E0,1.044876329E2,4.000604137E0,4.000604137E0
2.796684158E1,4.815980038E1,1.156279376E1,5.135199050E2,4.217566013E0,1.094194666E2,4.000604137E0,4.000604137E0
2.896702313E1,4.815978888E1,1.156285214E1,5.135124515E2,4.728011131E0,1.180202320E2,6.000906205E0,6.000906205E0
2.996719170E1,4.815976678E1,1.156290649E1,5.135077511E2,4.217566013E0,1.006558831E2,6.000906205E0,6.000906205E0
3.096735120E1,4.815976501E1,1.156296560E1,5.135048641E2,4.188626289E0,1.117984966E2,6.000906205E0,6.000906205E0
3.196750093E1,4.815975534E1,1.156302500E1,5.135030373E2,4.186326981E0,1.088816643E2,8.001208274E0,8.001208274E0
3.296764064E1,4.815975244E1,1.156308958E1,5.135019208E2,4.954975128E0,1.035970035E2,6.000906205E0,6.000906205E0
3.396777165E1,4.815972854E1,1.156315023E1,5.135012049E2,4.381836414E0,1.036115518E2,6.000906205E0,6.000906205E0
3.496789372E1,4.815973891E1,1.156321496E1,5.135007488E2,4.496046543E0,1.033106683E2,6.000906205E0,6.000906205E0
3.596800864E1,4.815974347E1,1.156327677E1,5.135004834E2,4.185905933E0,9.954981591E1,6.000906205E0,6.000906205E0
3.696811378E1,4.815974311E1,1.156333369E1,5.135002921E2,4.185905933E0,1.141381984E2,6.000906205E0,6.000906205E0
3.796821547E1,4.815972654E1,1.156338253E1,5.135002180E2,4.185905933E0,1.313832513E2,6.000906205E0,6.000906205E0
3.896830952E1,4.815970363E1,1.156342997E1,5.135001008E2,4.530809402E0,1.196364187E2,8.001208274E0,8.001208274E0
3.996839809E1,4.815968610E1,1.156348923E1,5.135000890E2,4.936299801E0,1.334641094E2,1.200181241E1,1.200181241E1
4.096848035E1,4.815969245E1,1.156356802E1,5.135000329E2,4.936299801E0,1.257746278E2,8.001208274E0,8.001208274E0
4.196855783E1,4.815969297E1,1.156360877E1,5.135000273E2,4.666544437E0,1.005999643E2,1.200181241E1,1.200181241E1
4.296862948E1,4.815968647E1,1.156365900E1,5.135000268E2,4.136860847E0,8.009900126E1,1.200181241E1,1.200181241E1
4.396869814E1,4.815968255E1,1.156371578E1,5.135000267E2,3.699360609E0,9.245346793E1,1.200181241E1,1.200181241E1
4.496876085E1,4.815967115E1,1.156376559E1,5.135000267E2,3.699360609E0,1.050615668E2,1.200181241E1,1.200181241E1
4.596882129E1,4.815966214E1,1.156381397E1,5.135000267E2,3.603633165E0,1.034804668E2,8.001208274E0,8.001208274E0
4.696887660E1,4.815966044E1,1.156386826E1,5.135000267E2,3.603633165E0,9.892381541E1,8.001208274E0,8.001208274E0
4.796892941E1,4.815965721E1,1.156393253E1,5.135000267E2,4.391039848E0,9.886860016E1,8.001208274E0,8.001208274E0
4.896897888E1,4.815964989E1,1.156399762E1,5.135000267E2,4.391039848E0,9.890901439E1,8.001208274E0,8.001208274E0
4.996902359E1,4.815965013E1,1.156406327E1,5.135000267E2,4.220679760E0,1.074761753E2,1.200181241E1,1.200181241E1
5.096906698E1,4.815963999E1,1.156411883E1,5.135000267E2,4.127576828E0,1.091218547E2,8.001208274E0,8.001208274E0
5.196910655E1,4.815963282E1,1.156417590E1,5.135000267E2,3.949836493E0,1.134563748E2,8.001208274E0,8.001208274E0
5.296914506E1,4.815963303E1,1.156424172E1,5.135000267E2,4.081538200E0,1.086834386E2,1.200181241E1,1.200181241E1
5.396918058E1,4.815962851E1,1.156430478E1,5.135000267E2,4.010499001E0,1.047063219E2,1.200181241E1,1.200181241E1
5.496921337E1,4.815962388E1,1.156435934E1,5.135000267E2,4.010499001E0,1.074309321E2,6.000906205E0,6.000906205E0
5.596924365E1,4.815960928E1,1.156441224E1,5.135000267E2,3.539599419E0,1.033056550E2,8.001208274E0,8.001208274E0
5.696927238E1,4.815961855E1,1.156447030E1,5.135000267E2,3.867703676E0,1.009743133E2,8.001208274E0,8.001208274E0
5.796929979E1,4.815962131E1,1.156452623E1,5.135000267E2,3.594331980E0,9.704328675E1,8.001208274E0,8.001208274E0
5.896932483E1,4.815960423E1,1.156457520E1,5.135000267E2,3.618942499E0,9.891275050E1,8.001208274E0,8.001208274E0
5.996934867E1,4.815959524E1,1.156463429E1,5.135000267E2,4.787199020E0,9.959974459E1,1.200181241E1,1.200181241E1
6.096937084E1,4.815958448E1,1.156469430E1,5.135000267E2,4.787199020E0,9.937977835E1,1.200181241E1,1.200181241E1
6.196939123E1,4.815958094E1,1.156475588E1,5.135000267E2,4.561499119E0,9.951826043E1,1.200181241E1,1.200181241E1
6.296941030E1,4.815958123E1,1.156481418E1,5.135409508E2,3.951844931E0,1.030465791E2,8.001208274E0,8.001208274E0
6.396942890E1,4.815958839E1,1.156486414E1,5.136415581E2,3.422431707E0,9.339847924E1,8.001208274E0,8.001208274E0
6.496944523E1,4.815958039E1,1.156491591E1,5.137726332E2,3.918950796E0,1.004161230E2,8.001208274E0,8.001208274E0
6.596946204E1,4.815957387E1,1.156497142E1,5.139243333E2,3.918950796E0,9.767069426E1,8.001208274E0,8.001208274E0
6.696947622E1,4.815957208E1,1.156502669E1,5.140935316E2,3.918950796E0,1.089393316E2,1.200181241E1,1.200181241E1
6.796948981E1,4.815957039E1,1.156508216E1,5.142414634E2,3.568300962E0,1.085496488E2,1.200181241E1,1.200181241E1
6.896950245E1,4.815956639E1,1.156513668E1,5.143380498E2,3.568300962E0,1.079343854E2,1.200181241E1,1.200181241E1
6.996951425E1,4.815955388E1,1.156518674E1,5.143987948E2,3.568300962E0,1.038758870E2,1.200181241E1,1.200181241E1
7.096952558E1,4.815954086E1,1.156524543E1,5.144367846E2,4.045803547E0,1.042044805E2,1.200181241E1,1.200181241E1
