"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.060500000E-3,-1.705403595E0,4.583768005E0,8.500972137E0
1.209750000E-2,-5.120851135E-1,3.397634583E0,8.239615631E0
2.213450000E-2,7.322772217E-1,2.386337585E0,8.899144135E0
3.217250000E-2,8.187973022E-2,2.584974518E0,8.550818481E0
4.220950000E-2,-1.769170990E0,4.042343903E0,7.995323639E0
5.224750000E-2,-1.882934418E0,3.679348755E0,1.008422974E1
6.228450000E-2,-2.280058594E0,3.447780304E0,9.794132996E0
7.232150000E-2,-1.357227631E0,3.135230255E0,7.867788849E0
8.235950000E-2,4.317022705E-1,3.261866913E0,7.974067841E0
9.239650000E-2,-8.608598328E-1,4.067192230E0,9.999356232E0
1.024345000E-1,-8.695417786E-1,3.239263916E0,1.051518356E1
1.124715000E-1,-1.470092926E0,2.324965210E0,9.683063965E0
1.225085000E-1,-1.319206696E0,2.519111481E0,9.115893402E0
1.325465000E-1,-3.126997375E-1,2.880160675E0,1.161015656E1
1.425835000E-1,-5.478607178E-1,3.874393158E0,1.030472122E1
1.526205000E-1,-6.273454285E-1,3.685635681E0,7.464826813E0
1.626585000E-1,-5.023553467E-1,2.185754700E0,9.861642609E0
1.726955000E-1,5.617817688E-1,1.595831451E0,1.156405243E1
1.827335000E-1,-1.161584473E-1,3.036435699E0,9.490564270E0
1.927705000E-1,-1.195713501E0,3.851341095E0,7.962092743E0
2.028075000E-1,-9.514215088E-1,3.481310577E0,8.121062164E0
2.128455000E-1,-1.278042297E0,3.059188385E0,8.813073120E0
2.228825000E-1,-4.555027771E-1,2.097138977E0,1.066502197E1
2.329195000E-1,-6.146218872E-1,2.686313782E0,1.042851379E1
2.429575000E-1,-1.577569427E0,3.574416962E0,1.045815216E1
2.529945000E-1,-1.288819885E0,2.862796783E0,1.149774033E1
2.630325000E-1,-6.242019653E-1,2.735711060E0,8.934171295E0
2.730695000E-1,-2.408491516E-1,4.298012238E0,6.206244049E0
2.831065000E-1,7.879614258E-1,4.902604980E0,6.602021027E0
2.931445000E-1,3.893403625E-1,3.878584442E0,7.970924377E0
3.031815000E-1,-1.115929413E0,1.276695099E0,1.228480362E1
3.132185000E-1,-1.067879333E0,1.127455444E0,1.201401672E1
3.232565000E-1,-1.690734100E0,3.490740967E0,1.062310913E1
3.332935000E-1,-9.376501465E-1,3.598217468E0,1.073807007E1
3.433315000E-1,-1.231938171E-1,2.983296204E0,8.017627258E0
3.533685000E-1,-5.604345703E-1,4.402644653E0,6.365662537E0
3.634055000E-1,4.821473694E-1,4.116589508E0,8.658594360E0
3.734435000E-1,-6.212081909E-2,2.092049561E0,1.152902527E1
3.834805000E-1,-1.432071991E0,2.820135498E-1,1.088446564E1
3.935185000E-1,-1.322200470E0,1.636696472E0,9.714348907E0
4.035555000E-1,-6.614744568E-1,5.367388458E0,8.958720245E0
4.135925000E-1,3.490740967E-1,5.849984894E0,7.402705994E0
4.236305000E-1,-1.444496155E-1,2.341580658E0,7.971223755E0
4.336675000E-1,-1.270408173E0,3.017724609E-1,8.989705811E0
4.437045000E-1,-1.556014252E0,2.632425842E0,9.527986450E0
4.537425000E-1,-1.201251984E0,5.171146545E0,1.007809250E1
4.637795000E-1,-2.499801636E-2,3.967948608E0,9.117539978E0
4.738175000E-1,-8.666976929E-1,1.731748810E0,8.738677826E0
4.838545000E-1,-1.867965546E0,1.382525024E0,9.447004852E0
4.938915000E-1,-1.908381500E0,3.629352722E0,9.091643829E0
5.039295000E-1,-1.799857178E0,4.661306763E0,1.017628830E1
5.139665000E-1,-7.117698669E-1,3.190315704E0,9.911788330E0
5.240035000E-1,-7.985893250E-1,1.800904999E0,9.068591766E0
5.340415000E-1,-1.122665405E0,2.341131592E0,8.878636780E0
5.440785000E-1,-7.219487000E-1,3.706292725E0,8.937913513E0
5.541165000E-1,-6.773414612E-1,4.818779297E0,8.362210693E0
5.641535000E-1,-6.872209167E-1,4.096082153E0,8.531209259E0
5.741905000E-1,-1.025068359E0,2.510429535E0,1.040606049E1
5.842285000E-1,-1.447489929E0,1.734293518E0,1.120150635E1
5.942655000E-1,-1.105900269E0,2.887196045E0,9.586065674E0
6.043025000E-1,-9.840536499E-1,4.031416626E0,8.625662842E0
6.143405000E-1,-1.892065430E0,4.097728729E0,9.326056366E0
6.243775000E-1,-2.881507874E0,2.683619385E0,1.038660095E1
6.344155000E-1,-2.469115448E0,1.842518463E0,9.919422455E0
6.444525000E-1,-1.346749420E0,2.705174561E0,8.963510284E0
6.544895000E-1,-7.170089722E-2,4.022584991E0,8.679401093E0
6.645275000E-1,2.180964661E-1,4.118236084E0,8.921896820E0
6.745645000E-1,-3.646417236E-1,3.051254883E0,8.912915497E0
6.846015000E-1,-7.048841858E-1,2.700534210E0,8.752748566E0
6.946395000E-1,-9.466314697E-1,3.670666809E0,8.917256470E0
7.046765000E-1,-4.956193542E-1,3.322640533E0,9.971364441E0
7.147145000E-1,-4.945715332E-1,1.645378418E0,1.100780914E1
7.247515000E-1,-9.488768005E-1,2.199675751E0,1.002989273E1
7.347885000E-1,2.888992310E-1,4.797822876E0,7.562423859E0
7.448265000E-1,8.265811157E-1,5.686973877E0,8.171507263E0
7.548635000E-1,3.121009827E-1,3.134481812E0,9.089847565E0
7.649005000E-1,-7.882608032E-1,6.337820435E-1,1.038196060E1
7.749385000E-1,-1.178199921E0,2.406844940E0,1.033166519E1
7.849755000E-1,-4.385879517E-1,5.429359589E0,9.023984528E0
7.950135000E-1,-1.534309387E-1,4.994663544E0,8.590635681E0
8.050505000E-1,1.008901978E-1,1.901196442E0,8.448132019E0
8.150875000E-1,-3.712280273E-2,1.438658295E0,8.771459656E0
8.251255000E-1,6.915618896E-2,3.920497284E0,8.906329193E0
8.351625000E-1,5.219645691E-1,4.476291504E0,9.752070465E0
8.451995000E-1,5.421725464E-1,2.238594818E0,1.024783951E1
8.552375000E-1,4.275109863E-1,1.025367737E0,9.480984192E0
8.652745000E-1,2.748284912E-1,2.742596741E0,9.225016479E0
8.753125000E-1,4.415817261E-2,4.803660736E0,8.160430298E0
8.853495000E-1,-3.996688843E-1,4.091292114E0,8.280630341E0
8.953865000E-1,1.230441284E-1,1.379680939E0,9.591304779E0
9.054245000E-1,9.864486694E-2,1.512754211E0,9.199120331E0
9.154615000E-1,-5.804928589E-1,3.896547089E0,9.295519867E0
9.254985000E-1,-3.056643677E-1,4.264481964E0,9.622889099E0
9.355365000E-1,-7.685018921E-1,3.098556519E0,8.553662567E0
9.455735000E-1,-4.372407532E-1,2.676284637E0,6.599626007E0
9.556115000E-1,1.063538361E0,3.351530457E0,7.888745270E0
9.656485000E-1,6.810836792E-2,3.307671661E0,1.226324844E1
9.756855000E-1,-1.149759064E0,2.218536530E0,1.249511627E1
9.857235000E-1,-5.595364380E-1,1.499581604E0,9.794582062E0
9.957605000E-1,-3.040177917E-1,2.739303589E0,1.045426025E1
1.005797500E0,3.580554199E-1,3.341201935E0,1.335343140E1
1.015835500E0,-3.218307495E-1,3.522175598E0,1.179202835E1
1.025872500E0,-1.201401672E0,1.580862579E0,1.352377716E1
1.035910500E0,7.604187012E-1,8.554710388E-1,1.077594131E1
1.045947500E0,6.171665955E-1,5.427563324E0,3.432961121E0
1.055984500E0,6.442602539E-1,7.068151703E0,4.254901886E0
1.066022500E0,-3.432362366E-1,4.120780792E0,8.916807404E0
1.076059500E0,-2.459535370E0,9.434880066E-1,9.183552704E0
1.086096500E0,-1.320254517E0,-4.870870972E-1,8.624764709E0
1.096134500E0,-6.933581543E-1,2.722987518E0,8.745114441E0
1.106171500E0,-4.851411438E-1,4.753515015E0,1.189965454E1
1.116209500E0,-8.867559814E-1,3.352727966E0,1.230890350E1
1.126246500E0,-2.572550354E0,2.314487000E0,8.140072632E0
1.136283500E0,-1.918710022E0,1.005608826E0,9.801916809E0
1.146321500E0,-3.460803223E-1,2.478396149E0,1.198153427E1
1.156358500E0,9.379495239E-1,5.599705353E0,7.403304749E0
1.166395500E0,9.080117798E-1,6.478827209E0,4.459526367E0
1.176433500E0,-3.858975220E-1,3.171305237E0,9.446855164E0
1.186470500E0,-1.337169342E0,2.559677124E-2,1.184322189E1
1.196508500E0,-8.568182373E-1,-2.103126526E-1,1.247026794E1
1.206545500E0,1.758842468E-1,2.477048950E0,1.352138214E1
1.216582500E0,5.260061646E-1,5.307812347E0,9.993518372E0
1.226620500E0,-4.236190796E-1,4.528532867E0,7.649692383E0
1.236657500E0,-1.507365417E0,1.740281067E0,9.425898743E0
1.246694500E0,-1.426234131E0,2.314936066E0,9.367220764E0
1.256732500E0,-6.189628601E-1,5.420228577E0,8.244705048E0
1.266769500E0,3.441343689E-1,5.385500793E0,8.107440491E0
1.276806500E0,5.914201355E-1,2.034419403E0,9.179660797E0
1.286844500E0,-2.453398132E-1,5.300477600E-1,1.001911514E1
1.296881500E0,-9.318122864E-1,3.598217468E0,9.322763214E0
1.306919500E0,-3.912863159E-1,6.154302063E0,8.239765320E0
1.316956500E0,6.125262451E-1,3.745062103E0,1.045590683E1
1.326993500E0,9.719288635E-1,5.779481506E-1,1.039453445E1
1.337031500E0,1.146016846E0,2.070943451E0,7.805368652E0
1.347068500E0,1.646575928E0,5.561684418E0,7.832162933E0
1.357105500E0,1.524280243E0,6.415209503E0,7.163204041E0
1.367143500E0,7.213499451E-1,3.180885315E0,6.046526184E0
1.377180500E0,2.152523804E-1,5.703140259E-2,1.076755875E1
1.387218500E0,-2.204914856E-1,1.169667664E0,1.588317078E1
1.397255500E0,-4.158352661E-1,3.941603394E0,1.394066025E1
1.407292500E0,-4.796026611E-1,2.646945648E0,1.213855774E1
1.417330500E0,-3.167413330E-1,5.517675934E0,3.322041779E0
1.427367500E0,1.196611633E0,7.825426941E0,2.752326508E0
1.437404500E0,2.038610687E0,4.171525269E0,8.060138855E0
1.447442500E0,-6.209088135E-1,-5.209167480E-1,1.185175415E1
1.457479500E0,-9.219328308E-1,-1.929337921E0,1.062520477E1
1.467517500E0,-2.609074402E-1,2.441423035E0,9.887987823E0
1.477554500E0,1.601669312E-1,6.451583862E0,5.792354736E0
1.487591500E0,8.904981995E-1,2.969225464E0,6.219865723E0
1.497629500E0,-8.217910767E-1,-2.103725281E0,1.148696274E1
1.507666500E0,-2.775228882E0,-1.664239197E0,1.477203140E1
1.517703500E0,-2.859054565E0,3.773952026E0,1.366687958E1
1.527741500E0,-1.907932434E0,6.976991272E0,9.389823761E0
1.537779000E0,-8.092172241E-1,5.187761993E0,7.063062286E0
1.547817000E0,-8.162525940E-1,1.563947754E0,9.096733246E0
1.557854000E0,-1.419049072E0,2.395917664E0,1.035142410E1
1.567891000E0,-1.220711517E0,6.382577362E0,8.657396851E0
1.577929000E0,-5.409750366E-1,5.663173370E0,8.432863770E0
1.587966000E0,-3.855981445E-1,1.280736694E0,9.947563934E0
1.598003000E0,-1.332229614E-1,1.716929626E-1,9.791288910E0
1.608041000E0,3.158432007E-1,4.978197784E0,7.912096710E0
1.618078000E0,-4.668791199E-1,6.993606720E0,9.809850311E0
1.628116000E0,-1.614392853E0,3.733835449E0,9.260792084E0
1.638153000E0,-2.371518402E0,6.387217712E-1,8.048014069E0
1.648190000E0,-9.774673462E-1,1.108145599E0,1.001956421E1
1.658228000E0,9.864486694E-2,4.941823425E0,9.601782990E0
1.668265000E0,-1.172811127E0,5.070406036E0,8.133935394E0
1.678302000E0,-1.979034576E0,3.180885315E-1,1.178469360E1
1.688340000E0,-1.932032318E0,-1.159488831E0,1.209335175E1
1.698377000E0,-6.301895142E-2,2.453248444E0,9.889035645E0
1.708415000E0,5.105882263E-1,4.487817535E0,1.014066238E1
1.718452000E0,-9.469308472E-1,4.022584991E0,7.973618774E0
1.728489000E0,-1.418899384E0,9.599537659E-1,9.401798859E0
1.738527000E0,1.874102783E-1,2.125430145E0,1.069930069E1
1.748564000E0,2.001936951E0,5.085225220E0,8.719667358E0
1.758601000E0,-7.831713867E-1,5.417234802E0,7.424410858E0
1.768639000E0,-4.307442627E0,1.686093750E0,9.229507141E0
1.778676000E0,-1.763482819E0,-1.624421997E0,1.162841858E1
1.788714000E0,3.074756012E0,2.674787750E0,7.494764557E0
1.798751000E0,3.877386932E0,8.597072296E0,4.543651428E0
1.808788000E0,-6.710545349E-1,8.253536682E0,7.536378021E0
1.818826000E0,-5.877976685E0,5.570516052E0,1.132514923E1
1.828863000E0,-6.222111053E0,1.813029785E0,1.180160843E1
1.838900000E0,-3.905977478E0,-1.377136230E-2,1.200847824E1
1.848938000E0,2.498304749E-1,1.143322449E0,9.306896210E0
1.858975000E0,3.799399109E0,2.191442871E0,8.727151794E0
1.869013000E0,1.886826324E0,3.941154327E0,1.333277435E1
1.879050000E0,-1.380279694E0,4.534370728E0,1.239796829E1
1.889087000E0,-2.700683899E0,1.948198700E0,1.035501663E1
1.899125000E0,-9.282197571E-1,5.769003296E-1,1.022029678E1
1.909162000E0,2.949466553E0,4.292922821E0,5.297184448E0
1.919199000E0,3.271896057E0,7.776927795E0,4.887187042E0
1.929237000E0,7.951464844E-1,7.397466888E0,7.990533600E0
1.939274000E0,-1.672172699E0,3.472329254E0,8.961115265E0
1.949312000E0,-1.009351044E0,-3.049159241E-1,1.091859467E1
1.959349000E0,2.018402710E0,9.446855164E-1,1.068448151E1
1.969386000E0,2.354902954E0,4.880451050E0,9.744436340E0
1.979424000E0,4.201762390E-1,5.757776642E0,8.325387268E0
1.989461000E0,-1.786085815E0,2.907853088E0,1.015428406E1
1.999498000E0,-1.672921143E0,9.641450500E-1,1.043524979E1
2.009536000E0,1.228495331E0,3.532653809E0,5.522166595E0
2.019573000E0,1.773961029E0,6.026168518E0,5.226531372E0
2.029611000E0,-1.284329224E-1,4.911436615E0,6.571334839E0
2.039648000E0,-1.743125153E0,1.546134796E0,7.783214722E0
2.049685000E0,-2.533182220E0,-2.720442810E0,1.743319748E1
2.059723000E0,-1.741179199E0,2.451901245E-1,1.559876221E1
2.069760000E0,-5.111869812E-1,3.927233276E0,1.260873001E1
2.079797000E0,1.878593445E-1,5.245392151E0,1.003962250E1
2.089835000E0,7.027885437E-1,5.139711914E0,3.651207275E0
2.099872000E0,7.523355103E-1,3.978277130E0,4.460574188E0
2.109910000E0,-8.921447754E-2,3.645668793E0,9.809850311E0
2.119947000E0,-1.082997894E0,1.792821808E0,1.725761261E1
2.129984000E0,-1.841620331E0,1.699266357E0,1.353964417E1
2.140022000E0,-1.570384369E0,2.533182220E0,1.201416641E1
2.150059000E0,2.453398132E-1,4.411625977E0,1.115794693E1
2.160096000E0,5.849835205E-1,8.238118744E0,1.301842804E0
2.170134000E0,2.628533936E-1,7.122339020E0,3.176095276E0
2.180171000E0,-7.479945374E-1,3.495680695E0,9.720635834E0
2.190209000E0,-5.682183838E-1,1.328038330E0,1.048060547E1
2.200246000E0,4.486170959E-1,1.661395111E0,9.200168152E0
2.210283000E0,1.062789917E-2,3.913611603E0,9.941875763E0
2.220321000E0,1.463955688E-1,4.596491547E0,8.887618103E0
2.230358000E0,1.919009399E-1,3.206781464E0,7.456743622E0
2.240395000E0,9.782157898E-1,8.662486267E-1,9.157656555E0
2.250433000E0,1.604363708E0,1.592987366E0,1.056862244E1
2.260470000E0,3.724255371E-1,5.267995148E0,9.808503113E0
2.270508000E0,-2.369572449E-1,5.774392090E0,9.227561188E0
2.280545000E0,-3.653901672E-1,3.103496246E0,9.437275085E0
2.290582000E0,3.766168213E-1,2.132465515E0,8.517288208E0
2.300620000E0,1.413360901E0,2.797831879E0,9.561217346E0
2.310657000E0,7.214996338E-2,4.208199005E0,8.402177582E0
2.320695000E0,-1.361568604E0,2.011816406E0,1.041055115E1
2.330732000E0,-1.172661438E0,3.378474426E-1,1.144819336E1
2.340769000E0,1.826202393E-2,2.944377136E0,8.982221375E0
2.350807000E0,1.185384979E0,4.219126282E0,9.664801941E0
2.360844000E0,3.412902832E-1,4.033063202E0,8.189469910E0
