"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.711650000E-2,-2.886785269E-1,2.728205621E-1,-3.907326162E-1
2.715350000E-2,3.792089596E-2,3.788773715E-1,-2.145636231E-1
3.719150000E-2,2.596737742E-1,1.807267368E-1,-4.806172848E-2
4.722850000E-2,-7.798158377E-2,-3.564670682E-2,-2.866903543E-1
5.726550000E-2,-2.414389551E-1,-1.822052449E-1,-2.013735771E-1
6.730350000E-2,-8.936950937E-3,-1.871154010E-1,-6.950239837E-2
7.734050000E-2,1.559713185E-1,8.114161342E-2,-2.127146870E-1
8.737750000E-2,-1.438339502E-1,-1.733542979E-2,-5.943223089E-2
9.741550000E-2,-3.574695289E-1,3.870493546E-2,-1.443681717E-1
1.074525000E-1,5.442863330E-3,-4.931047186E-2,-1.003367752E-1
1.174905000E-1,2.293776870E-1,-7.794184983E-2,-8.595570922E-2
1.275275000E-1,4.533549398E-2,-9.087582678E-2,-1.931349188E-1
1.375645000E-1,-1.148083732E-1,-3.554492444E-2,-1.138712540E-1
1.476025000E-1,-5.232213065E-2,-1.515663601E-2,-6.795888394E-2
1.576395000E-1,-2.831809921E-3,-1.549531519E-1,-6.431621313E-2
1.676765000E-1,6.513005495E-2,-3.378296643E-2,-1.703232527E-1
1.777145000E-1,8.892565966E-2,8.755677938E-2,-2.033030614E-2
1.877515000E-1,-2.904912643E-2,1.445478946E-2,1.703248173E-2
1.977895000E-1,-1.008330360E-1,-7.613503188E-2,-1.848881245E-1
2.078265000E-1,-1.311721802E-1,-1.679868400E-1,-7.533918321E-2
2.178635000E-1,1.545747463E-2,-2.734762151E-3,-6.844053417E-2
2.279015000E-1,1.618330032E-1,3.669578210E-2,-1.288746744E-1
2.379385000E-1,1.928783953E-2,-5.342372134E-2,-1.412860751E-1
2.479765000E-1,-1.252733618E-1,-1.640504599E-1,-2.562777698E-1
2.580135000E-1,5.367934331E-2,-1.729914844E-1,-3.094983697E-1
2.680505000E-1,2.395459116E-1,-1.666762084E-1,-1.712619662E-1
2.780885000E-1,-5.534964055E-2,-5.548550934E-2,-1.869855374E-1
2.881255000E-1,-3.397687376E-1,2.987817861E-2,-1.341119856E-1
2.981625000E-1,-4.759919643E-2,-2.121350169E-2,4.866556078E-2
3.082005000E-1,3.702747226E-1,-1.001816615E-2,-1.568753272E-1
3.182375000E-1,1.129960567E-1,-1.800886989E-1,-1.855498552E-1
3.282755000E-1,-1.855482310E-1,-2.070601881E-1,-2.759904265E-1
3.383125000E-1,8.937494457E-2,-1.352187544E-1,-3.327903450E-1
3.483495000E-1,3.203114271E-1,-1.271525770E-1,-1.147654206E-1
3.583875000E-1,-1.710226387E-1,-9.534644336E-2,-1.826933324E-1
3.684245000E-1,-4.061574638E-1,-2.355074510E-2,-1.448559165E-1
3.784615000E-1,1.086763218E-1,-6.431841105E-2,-3.298690170E-2
