"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.034704167E-2,-3.076216280E-1,8.048732579E-2,-1.505719312E-2
3.038404167E-2,-1.347798109E-1,-5.010051280E-2,2.476792317E-3
4.042104167E-2,-2.226619273E-1,-3.732603490E-1,-2.715299278E-2
5.045704167E-2,-5.103735924E-1,1.124443719E-3,-5.046710372E-2
6.049404167E-2,-7.640399337E-1,3.690772951E-1,-6.413717568E-2
7.053104167E-2,-5.949145555E-1,6.991465092E-1,7.165499963E-3
8.056804167E-2,-2.075464427E-1,7.678064704E-1,9.445583075E-2
9.060404167E-2,6.668111682E-2,5.444002748E-1,-3.210370615E-2
1.006410417E-1,1.316092014E-1,1.825068742E-1,-1.718394309E-1
1.106780417E-1,1.094770059E-1,-7.315843552E-2,-2.063084692E-1
1.207150417E-1,-2.612646855E-2,-7.580430061E-2,-2.497635484E-1
1.307510417E-1,-1.325612962E-1,4.992618784E-2,-7.502505183E-2
1.407880417E-1,-2.291701734E-1,3.178304732E-1,-2.017078735E-2
1.508250417E-1,-1.886744201E-1,5.008213520E-1,4.617414623E-2
1.608620417E-1,-1.116439477E-1,3.782582879E-1,1.002008021E-1
1.708990417E-1,1.083856449E-2,4.013201892E-1,1.957054250E-3
1.809350417E-1,2.090386488E-2,1.933989227E-1,-1.878484190E-1
1.909720417E-1,-1.045325771E-2,-4.754523933E-2,-2.950102985E-1
2.010090417E-1,-1.251084954E-1,-8.723136038E-2,-1.886612624E-1
2.110460417E-1,-2.254249901E-1,-2.780924086E-3,-1.845786273E-1
2.210820417E-1,-3.936070204E-2,-4.112434760E-2,-1.737272292E-1
2.311190417E-1,2.697660029E-1,-2.120603248E-2,-1.318769753E-1
2.411560417E-1,3.406009376E-1,-3.324684128E-2,-2.212096751E-1
2.511930417E-1,4.220464081E-2,-1.427429765E-1,-1.888458729E-1
2.612290417E-1,-2.677462697E-1,1.638276502E-2,-2.000337392E-1
