"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.169102991E1,4.816380332E1,1.155322079E1,5.153121286E2,5.253420830E0,3.578614223E0,6.000906205E0,6.000906205E0
4.269102430E1,4.816384309E1,1.155321116E1,5.152310782E2,5.253420830E0,2.166609856E0,6.000906205E0,6.000906205E0
4.369101870E1,4.816388797E1,1.155320398E1,5.151588130E2,5.316945076E0,2.845635460E0,6.000906205E0,6.000906205E0
4.469101346E1,4.816394261E1,1.155320495E1,5.150896236E2,5.290534019E0,1.377562277E-2,6.000906205E0,6.000906205E0
4.569100714E1,4.816397705E1,1.155319589E1,5.150120626E2,5.290534019E0,6.810862936E-1,6.000906205E0,6.000906205E0
4.669100249E1,4.816402445E1,1.155319386E1,5.149483311E2,5.167195320E0,6.647798440E-2,6.000906205E0,6.000906205E0
4.769099712E1,4.816407298E1,1.155319213E1,5.148797204E2,4.972466946E0,2.188476707E0,6.000906205E0,6.000906205E0
4.869099164E1,4.816412280E1,1.155318595E1,5.148050737E2,4.927177429E0,3.542582200E0,6.000906205E0,6.000906205E0
4.969098556E1,4.816416712E1,1.155318021E1,5.147256486E2,4.508471489E0,2.767557220E0,6.000906205E0,6.000906205E0
5.069097960E1,4.816420714E1,1.155318119E1,5.146444273E2,4.969867229E0,8.206981350E-1,6.000906205E0,6.000906205E0
5.169097435E1,4.816425377E1,1.155317967E1,5.145905471E2,4.969867229E0,6.035501996E-2,6.000906205E0,6.000906205E0
5.269096839E1,4.816431812E1,1.155318184E1,5.145565946E2,5.160066128E0,3.571359205E2,6.000906205E0,6.000906205E0
5.369096458E1,4.816436392E1,1.155316800E1,5.145353466E2,5.160066128E0,3.562865728E2,6.000906205E0,6.000906205E0
5.469095874E1,4.816440395E1,1.155316355E1,5.145220707E2,4.627449036E0,3.583848069E2,6.000906205E0,6.000906205E0
5.569095290E1,4.816444201E1,1.155315576E1,5.145138217E2,4.646298885E0,5.805923330E-1,6.000906205E0,6.000906205E0
5.669094741E1,4.816448983E1,1.155315841E1,5.145086022E2,4.627449036E0,3.581484004E2,6.000906205E0,6.000906205E0
5.769094098E1,4.816453394E1,1.155315976E1,5.145053887E2,4.505753040E0,3.565631135E2,6.000906205E0,6.000906205E0
5.869093609E1,4.816457321E1,1.155315173E1,5.145033644E2,4.505753040E0,3.595507475E2,6.000906205E0,6.000906205E0
5.969093001E1,4.816461330E1,1.155315850E1,5.145021183E2,4.872912884E0,3.594797135E2,6.000906205E0,6.000906205E0
6.069092488E1,4.816466461E1,1.155317562E1,5.145013345E2,4.872912884E0,1.186983251E0,6.000906205E0,6.000906205E0
6.169091904E1,4.816470843E1,1.155318300E1,5.145008167E2,4.872912884E0,2.212990256E0,6.000906205E0,6.000906205E0
6.269091475E1,4.816477145E1,1.155319667E1,5.145005452E2,4.964510918E0,4.088052633E0,6.000906205E0,6.000906205E0
6.369090784E1,4.816483367E1,1.155320666E1,5.145003532E2,5.066359520E0,3.886532171E0,6.000906205E0,6.000906205E0
6.469090211E1,4.816487930E1,1.155319420E1,5.145002241E2,4.637299061E0,2.676664051E0,6.000906205E0,6.000906205E0
6.569089663E1,4.816492906E1,1.155320510E1,5.145001563E2,4.637299061E0,1.832752557E0,6.000906205E0,6.000906205E0
6.669089103E1,4.816497648E1,1.155320721E1,5.145000946E2,4.637299061E0,2.638316381E0,6.000906205E0,6.000906205E0
6.769088614E1,4.816502915E1,1.155318797E1,5.145000884E2,5.040118217E0,4.642959293E-1,6.000906205E0,6.000906205E0
6.869087982E1,4.816508318E1,1.155318024E1,5.145000329E2,5.525560856E0,1.459244516E0,6.000906205E0,6.000906205E0
6.969087481E1,4.816514610E1,1.155317649E1,5.145000273E2,5.488502502E0,2.661044049E0,6.000906205E0,6.000906205E0
7.069086969E1,4.816518646E1,1.155318171E1,5.145000268E2,5.737974167E0,2.652246978E0,6.000906205E0,6.000906205E0
7.169086432E1,4.816523320E1,1.155318626E1,5.145000267E2,5.488502502E0,3.982234220E0,6.000906205E0,6.000906205E0
7.269085813E1,4.816528881E1,1.155319283E1,5.145000267E2,5.387663841E0,3.432879330E0,6.000906205E0,6.000906205E0
7.369085300E1,4.816533780E1,1.155320653E1,5.145000267E2,5.029896736E0,3.466609366E0,6.000906205E0,6.000906205E0
7.469084752E1,4.816538538E1,1.155320818E1,5.145000267E2,5.118265152E0,2.129192799E0,6.000906205E0,6.000906205E0
7.569084191E1,4.816543657E1,1.155321100E1,5.145000267E2,5.118265152E0,2.194222603E0,6.000906205E0,6.000906205E0
7.669083667E1,4.816548614E1,1.155322212E1,5.145000267E2,5.118265152E0,2.312175915E0,6.000906205E0,6.000906205E0
7.769083023E1,4.816553989E1,1.155322695E1,5.145000267E2,5.134846687E0,2.847625607E0,4.000604137E0,4.000604137E0
7.869082558E1,4.816559388E1,1.155323764E1,5.145000267E2,5.134846687E0,3.409035994E0,4.000604137E0,4.000604137E0
7.969082022E1,4.816564230E1,1.155324951E1,5.145466087E2,4.932651520E0,5.440552179E0,4.000604137E0,4.000604137E0
8.069081426E1,4.816568743E1,1.155326553E1,5.146393224E2,4.971556187E0,6.903564612E0,4.000604137E0,4.000604137E0
8.169080865E1,4.816573603E1,1.155327331E1,5.147584570E2,4.971556187E0,7.873176132E0,6.000906205E0,6.000906205E0
8.269080329E1,4.816578189E1,1.155327943E1,5.148980865E2,4.980784416E0,7.487629029E0,6.000906205E0,6.000906205E0
8.369079757E1,4.816582946E1,1.155328768E1,5.150476208E2,5.177803516E0,7.427794010E0,6.000906205E0,6.000906205E0
8.469079208E1,4.816588292E1,1.155329847E1,5.152051218E2,5.282258034E0,7.566077166E0,6.000906205E0,6.000906205E0
