"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.783041667E-3,5.451663208E-1,4.094884644E0,8.128845978E0
1.282004167E-2,-1.392105103E-1,4.229155426E0,6.512956238E0
2.285604167E-2,-8.952882385E-1,3.725452881E0,5.165009308E0
3.289304167E-2,-1.167122955E0,3.613785095E0,5.905968475E0
4.293004167E-2,-6.246510315E-1,3.952830048E0,9.134005737E0
5.296704167E-2,8.888516235E-1,3.577710114E0,1.290930496E1
6.300304167E-2,1.713187408E0,2.631827087E0,1.459959000E1
7.304004167E-2,8.279283142E-1,1.230441284E0,1.383767441E1
8.307704167E-2,-8.063731384E-1,1.859433289E0,1.329160995E1
9.311404167E-2,-1.412911835E0,2.363285522E0,1.071052734E1
1.031500417E-1,-1.473535767E0,3.391796722E0,7.893984375E0
1.131870417E-1,-1.395847321E0,4.584666138E0,5.342689819E0
1.232240417E-1,-6.346801758E-2,4.441264343E0,4.665498047E0
1.332610417E-1,9.307644653E-1,2.684068451E0,5.243595886E0
1.432970417E-1,1.105002136E0,6.595285034E-1,6.429729309E0
1.533340417E-1,3.947291565E-1,-1.631756744E0,8.061785431E0
1.633710417E-1,-1.880838776E0,-1.124162292E0,9.964778137E0
1.734080417E-1,-2.477198639E0,1.196012878E-1,1.093191696E1
1.834440417E-1,-2.386337585E0,1.318009186E0,1.129161896E1
1.934810417E-1,-2.427801361E0,2.691552887E0,1.024963577E1
2.035180417E-1,-2.051034851E0,3.907624054E0,9.117539978E0
2.135550417E-1,-9.168434143E-1,3.241808624E0,8.827892303E0
2.235920417E-1,-5.876779175E-1,1.604064331E0,1.057266403E1
2.336280417E-1,-7.482939148E-1,1.195264435E0,1.407508072E1
2.436650417E-1,-5.448669434E-2,2.405348053E0,1.683010162E1
2.537020417E-1,-2.653981018E-1,5.002896423E0,1.492336670E1
2.637390417E-1,3.290158081E-1,5.488486633E0,1.033959869E1
2.737750417E-1,7.541317749E-1,4.020040283E0,4.953798523E0
2.838120417E-1,-1.285227356E0,3.381617889E0,1.203497314E0
2.938490417E-1,-1.984872437E0,2.481090546E0,2.324366455E0
3.038860417E-1,-1.096769257E0,7.448510742E-1,7.159312134E0
3.139220417E-1,-1.128203888E0,-8.994795227E-1,1.323173447E1
3.239590417E-1,-1.544937286E0,-1.073268127E0,1.528501465E1
3.339960417E-1,-2.096689911E0,2.947819977E0,1.306992096E1
3.440330417E-1,-2.804418182E0,6.658154297E0,1.014006363E1
3.540690417E-1,-1.973945160E0,4.366869049E0,8.724906464E0
3.641060417E-1,3.260220337E-1,-3.150947571E-1,8.493038635E0
3.741430417E-1,1.937570801E0,-2.129022675E0,9.197024689E0
3.841800417E-1,2.648592224E0,2.932402039E-1,1.022358994E1
3.942160417E-1,8.330177307E-1,3.386108551E0,1.070364166E1
4.042530417E-1,-5.875282288E-1,2.596051483E0,1.037896683E1
4.142900417E-1,9.229806519E-1,3.126997375E-1,8.186476135E0
4.243270417E-1,1.843416595E0,1.380878448E0,5.958359528E0
4.343630417E-1,1.021625519E0,5.251529388E0,5.380860443E0
4.444000417E-1,-9.383985901E-1,7.194938049E0,7.318281555E0
4.544370417E-1,-2.387086029E0,5.282514954E0,1.056802368E1
